#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	AME2021_Qb	AME2020_D_Qb	AME2020_Qb1n	AME2020_D_Qb1n	AME2021_Qb2n	AME2021_D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi
42P	15	42	0	0	0	100	0	18729.5899	95.0504	12029.1041	95.0977	7787.0558	95.1748118947	0	0	0.0485	0.0015	50	20	0	0	0	0	0.626668	0.049419602588463	0.036384423933898	0.667017	0.026870966980369	0.020877514853548	0.0015	20	0
43P	15	43	0	0	0	100	0	17236	300	14607	300	7906.4833	300.069161929	3300	550	0.0365	0.0015	95	5	0	0	0	0	0.614011	0.072866717761327	0.042988481263112	0.666697	0.02714735966587	0.020917158741763	0.0015	5	0
44P	15	44	0	0	0	100	0	20314	400	15234	400	12604.8754	400.043771572	5240	500	0.0185	0.0025	0	0	0	0	0	0	0.610157	0.079047571810803	0.045346626690241	0.65619	0.038017592776108	0.023727827407708	0.0025	0	0
41S	16	41	0	0	0	100	0	8298.6116	68.8456	477.9204	32.3264	0	0	0	0	2.6	1.4	0	0	0	0	0	0	0.673027	0.020194692977515	0.020190860146514	0.673095	0.020193801205382	0.020192930449108	1.4	0	0
42S	16	42	0	0	0	100	0	7194.0221	59.6811	1598.1258	68.7803	0	0	0	0	1.03	0.03	0.5	0.5	0	0	0	0	0.6732	0.020699561831111	0.020204557901622	0.673095	0.020193801205382	0.020192930449108	0.03	0.5	0
43S	16	43	0	0	0	100	0	11964.05	62.0579	4564.9912	59.8225	0	0	0	0	0.273	0.027	40	10	0	0	0	0	0.663564	0.030102940469104	0.021319776919246	0.673095	0.020193801205382	0.020192930449108	0.027	10	0
44S	16	44	0	0	0	100	0	11274.7373	85.7253	6883.9563	62.0781	0	0	0	0	0.1	0.001	18	3	0	0	0	0	0.653943	0.040624076992888	0.024670812380708	0.673095	0.020193801205382	0.020192930449108	0.001	3	0
45S	16	45	0	0	0	100	0	14922	329	9067	312	4676.3299	361.397201585	0	0	0.068	0.002	54	10	0	0	0	0	0.643157	0.048358027234205	0.028656887095149	0.670221	0.021393195622835	0.020337694533966	0.002	10	0
46S	16	46	0	0	0	100	0	14375	411	10831	422	4976.3885	430.92914455	290	500	0.05	0.008	0	0	0	0	0	0	0.634442	0.050974698922383	0.033463121719702	0.669589	0.021476240244254	0.020409649850718	0.008	0	0
43Cl	17	43	0	0	0	100	0	7850.3002	62.086	2191.8495	62.1275	0	0	0	0	3.175	0.09	0	0	0	0	0	0	0.671046	0.021511838245589	0.020266343668861	0.673095	0.020193791524191	0.020192924902611	0.09	0	0
44Cl	17	44	0	0	0	100	0	12194.2869	85.5811	3459.5192	85.731	0	0	0	0	0.65	0.05	4	4	0	0	0	0	0.668452	0.02543568119146	0.020607978374251	0.673095	0.020193791524191	0.020192924902611	0.05	4	0
45Cl	17	45	0	0	0	100	0	11508.2568	136.1643	6339.3978	136.1726	0	0	0	0	0.4	0.043	24	4	0	0	0	0	0.655959	0.038327615223399	0.023846759731941	0.673095	0.020193791524191	0.020192924902611	0.043	4	0
46Cl	17	46	0	0	0	100	0	16036.3062	97.2766	7964.5344	97.2501	2795.6755	97.3173536774	0	0	0.232	0.002	60	9	0	0	0	0	0.64981	0.047828164897788	0.026211604614941	0.6732	0.02054193106794	0.02020904480672	0.002	9	0
