#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	Qb	D_Qb	Qb1n	D_Qb1n	Qb2n	D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi	b_br	D_b_br	D_b_br_Hi	a_br	D_a_br	D_a_br_Hi
233Ra	88	233	0	0	0	100	0	3026.02	15.6228	-2891.68	15.6228	-7571.43	24.1703	0	0	30	5	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5	0	0	100	0	0	0	0	0
205Hg	80	205	0	0	0	100	0	1533.08	3.7238	-6012.97	3.6964	-12669	3.76236	0	0	306	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	100	0	0	0	0	0
206Hg	80	206	0	0	0	100	0	1307.57	20.41	-5196.24	20.4097	-12742.3	20.4187	0	0	499.2	7.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	7.2	0	0	100	0	0	0	0	0
207Hg	80	207	0	0	0	100	0	4546.99	30.3	-2305.47	29.8355	-8809.28	30.7807	0	0	174	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	100	0	0	0	0	0
208Hg	80	208	0	0	0	100	0	3484.71	30.7951	-302.289	31.2168	-7154.75	30.8463	0	0	135	10	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	10	0	0	100	0	0	0	0	0
209Hg	80	209	0	0	0	100	0	5035	150	69	150	-3717.99	150.215	0	0	6.3	1.1	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.1	0	0	100	0	0	0	0	0
210Hg	80	210	0	0	0	100	0	3947	201	273	200	-4692.51	201.339	0	0	63.7	11.6	2.2	2.2	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	11.6	2.2	0	100	0	0	0	0	0
211Hg	80	211	0	0	0	100	0	5688	205	785	201	-2887.84	209.331	0	0	26.4	8.1	6.3	6.3	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	8.1	6.3	0	100	0	0	0	0	0
226Fr	87	226	0	0	0	100	0	3852.96	6.5215	-2543.82	6.7494	-7447.93	6.79516	0	0	49	1	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1	0	0	100	0	0	0	0	0
225Fr	87	225	0	0	0	100	0	1827.56	12.1574	-3076.55	12.0886	-9555.28	12.5145	0	0	240	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	100	0	0	0	0	0
224Fr	87	224	0	0	0	100	0	2922.78	11.3237	-3555.95	11.3716	-8714.23	12.2247	0	0	199.8	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	100	0	0	0	0	0
219Fr	87	219	0	0	0	100	0	-776.914	9.5906	-6099.94	11.905	-13415.2	13.6181	0	0	0.022	0.004	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.004	0	0	0	0	0	100	0	0
218Fr	87	218	0	0	0	100	0	413.884	10.5603	-6901.41	8.0626	-12374.7	16.41	0	0	0.0011	0.0003	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0003	0	0	0	0	0	100	0	0
