#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	QB-	QB-_unc	QB-n	QB-n_unc	QB-2n	QB-2n_unc	QB-3n	QB-3n_unc	T1/2_[s]	D_T1/2_[s]	pn1_%	D_pn1	pn2_%	D_pn2	pn3_%	D_pn3	Neueff_unity	lowerEff	upperEff	D_T1/2_[s] Hi	D_pn1 Hi	D_pn2 Hi
52Sc	21	52	0	0	0	100	0	9027	82	1218	82	0	0	0	0	8.2	0.2	0	0	0	0	0	0	0.6732	0.020522291319441	0.020213837265596	0.2	0	0
53Sc	21	53	0	0	0	100	0	7920	140	2492	94	0	0	0	0	2.4	0.6	0	0	0	0	0	0	0.669585	0.021539015622876	0.020410239832067	0.6	0	0
54Sc	21	54	0	0	0	100	0	11730	280	4870	290	0	0	0	0	0.526	0.015	16	9	0	0	0	0	0.662997	0.032218445583363	0.021204158101846	0.015	9	0
55Sc	21	55	0	0	0	100	0	11510	480	7390	460	530	470	0	0	0.096	0.002	17	7	0	0	0	0	0.652104	0.044976490138009	0.02533116910319	0.002	7	0
56Sc	21	56	0	0	0	100	0	14470	600	8740	610	4630	590	0	0	0.031	0.005	0	0	0	0	0	0	0.64491	0.0479943757256	0.028019088248728	0.005	0	0
56Sc	21	56	1	0	0	100	0	14470	600	8740	610	4630	590	0	0	0.069	0.007	24	12	0	0	0	0	0.64491	0.0479943757256	0.028019088248728	0.007	12	0
57Sc	21	57	0	0	0	100	0	12900	1300	10300	1300	4500	1300	400	1300	0.022	0.002	0	0	0	0	0	0	0.636783	0.054233918300083	0.032304766384856	0.002	0	0
58Sc	21	58	0	0	0	100	0	16230	450	10970	480	8300	420	2580	430	0.012	0.005	0	0	0	0	0	0	0.634683	0.051182471027102	0.033459833464022	0.005	0	0
56Ti	22	56	0	0	0	100	0	6830	190	1750	150	0	0	0	0	0.2	0.005	0	0	0	0	0	0	0.6732	0.020928105145952	0.020201585111075	0.005	0	0
57Ti	22	57	0	0	0	100	0	10500	270	4170	310	0	0	0	0	0.098	0.005	0	0	0	0	0	0	0.665299	0.02834886077889	0.021104652673306	0.005	0	0
58Ti	22	58	0	0	0	100	0	9290	220	5230	220	0	0	0	0	0.058	0.009	0	0	0	0	0	0	0.661985	0.033939095600833	0.021265524733768	0.009	0	0
59Ti	22	59	0	0	0	100	0	12320	260	6820	220	2760	220	0	0	0.0285	0.0025	0	0	0	0	0	0	0.654104	0.040376220817883	0.024615968039758	0.0025	0	0
60Ti	22	60	0	0	0	100	0	10910	370	7430	340	1930	310	0	0	0.0222	0.002	0	0	0	0	0	0	0.651906	0.045358800309889	0.025406187800463	0.002	0	0
61Ti	22	61	0	0	0	100	0	14160	980	8820	460	5340	430	0	0	0.015	0.004	0	0	0	0	0	0	0.644452	0.047904649484926	0.028184474560893	0.004	0	0
56V	23	56	0	0	0	100	0	9130	180	880	180	0	0	0	0	0.216	0.004	0	0	0	0	0	0	0.67359	0.02022654860054	0.02025381680795	0.004	0	0
57V	23	57	0	0	0	100	0	8111	80	2800	80	0	0	0	0	0.347	0.01	0	0	0	0	0	0	0.669494	0.023271366750417	0.020423869134726	0.01	0	0
58V	23	58	0	0	0	100	0	11590	89	4052	89	0	0	0	0	0.19	0.01	0	0	0	0	0	0	0.666012	0.027750411703786	0.021005810499231	0.01	0	0
59V	23	59	0	0	0	100	0	10250	270	6090	160	0	0	0	0	0.092	0.009	6	3	0	0	0	0	0.656871	0.037367506748202	0.023385141448726	0.009	3	0
60V	23	60	0	0	0	100	0	13430	290	6770	310	2610	220	0	0	0.04	0.015	0	0	0	0	0	0	0.654316	0.040178473515931	0.024543985843184	0.015	0	0
60V	23	60	1	0	0	100	0	13430	290	6770	310	2610	220	0	0	0.122	0.018	0	0	0	0	0	0	0.654316	0.040178473515931	0.024543985843184	0.018	0	0
61V	23	61	0	0	0	100	0	11970	900	8090	910	1440	920	0	0	0.0483	0.001	20	10	0	0	0	0	0.648814	0.046825221728641	0.026570721008968	0.001	10	0
62V	23	62	0	0	0	100	0	15420	330	8930	320	5050	360	0	0	0.0335	0.002	0	0	0	0	0	0	0.643683	0.047883447171649	0.028464131253915	0.002	0	0
63V	23	63	0	0	0	100	0	14120	540	10930	430	4440	410	570	440	0.0196	0.001	67	33	0	0	0	0	0.63397	0.050568872844963	0.033471525418033	0.001	33	0
64V	23	64	0	0	0	100	0	17160	590	11620	540	8430	430	1940	410	0.015	0.002	0	0	0	0	0	0	0.629864	0.047148172908888	0.034823509209245	0.002	0	0
60Cr	24	60	0	0	0	100	0	6300	190	780	190	0	0	0	0	0.492	0.013	0	0	0	0	0	0	0.673735	0.02021912931366	0.020332838813174	0.013	0	0
